id,vehicleid,timestamp,BV,CHRGER,DISCHRG,CHRGNG,BATPWR
9419341,390376,3/25/2022 7:38,417,255,0,0,1
9419672,390376,3/25/2022 7:48,417,255,0,0,1
9419991,390376,3/25/2022 7:58,415,255,0,0,1
9420328,390376,3/25/2022 8:08,415,255,0,0,1
9420662,390376,3/25/2022 8:18,415,255,0,0,1
9420986,390376,3/25/2022 8:28,415,255,0,0,1
9421326,390376,3/25/2022 8:38,417,255,0,0,1
9421678,390376,3/25/2022 8:49,417,255,0,0,1
9421981,390376,3/25/2022 8:58,417,255,0,0,1
9422340,390376,3/25/2022 9:08,415,255,0,0,1
9422729,390376,3/25/2022 9:18,417,255,0,0,1
9423180,390376,3/25/2022 9:28,415,255,0,0,1
9423710,390376,3/25/2022 9:38,415,255,0,0,1
9424245,390376,3/25/2022 9:48,415,255,0,0,1
9424776,390376,3/25/2022 9:58,415,255,0,0,1
9425518,390376,3/25/2022 10:08,415,255,0,0,1
9426324,390376,3/25/2022 10:18,415,255,0,0,1
9427533,390376,3/25/2022 10:28,415,255,0,0,1
9428901,390376,3/25/2022 10:38,417,255,0,0,1
9429308,390376,3/25/2022 10:42,415,255,0,0,1
9430290,390376,3/25/2022 10:51,415,255,0,0,1
9431054,390376,3/25/2022 11:01,417,255,0,0,1
9431649,390376,3/25/2022 11:11,417,255,0,0,1
9432109,390376,3/25/2022 11:21,415,255,0,0,1
9432605,390376,3/25/2022 11:32,415,255,0,0,1
9433332,390376,3/25/2022 11:42,417,255,0,0,1
9433873,390376,3/25/2022 11:52,417,255,0,0,1
9434125,390376,3/25/2022 11:57,415,0,0,0,0
9451723,390376,3/25/2022 15:19,415,0,0,0,0
9685776,390376,3/30/2022 19:52,412,0,0,0,0
9961350,390376,4/5/2022 10:31,409,0,0,0,0
10163554,390376,4/9/2022 18:19,408,0,0,0,0
10171987,390376,4/10/2022 10:19,408,0,0,0,0
10172650,390376,4/10/2022 11:59,408,0,0,0,0
10175398,390376,4/10/2022 17:57,408,0,0,0,0
10204430,390376,4/12/2022 10:30,406,0,0,0,0
11281558,390376,5/11/2022 16:13,402,0,0,0,0
11361013,390376,5/14/2022 17:06,403,0,0,0,0
11405011,390376,5/17/2022 16:12,402,0,0,0,0
11493136,390376,5/21/2022 11:29,402,0,0,0,0
11505964,390376,5/21/2022 16:26,402,0,0,0,0
11649662,390376,5/26/2022 10:27,400,0,0,0,0
11658098,390376,5/26/2022 13:40,400,0,0,0,0
11658107,390376,5/26/2022 13:40,400,0,0,0,0
11658117,390376,5/26/2022 13:40,400,0,0,0,0
11658235,390376,5/26/2022 13:42,400,0,0,0,0
11665421,390376,5/26/2022 15:46,400,0,0,0,0
11675770,390376,5/26/2022 18:19,400,0,0,0,0
11681925,390376,5/27/2022 5:09,400,0,0,0,0
11684127,390376,5/27/2022 9:16,400,0,0,0,0
11693299,390376,5/27/2022 13:28,400,0,0,0,0
11718466,390376,5/28/2022 10:54,400,0,0,0,0
11728426,390376,5/28/2022 14:55,400,0,0,0,0
11733142,390376,5/28/2022 16:17,400,0,0,0,0
11798804,390376,5/31/2022 18:50,399,0,0,0,0
11815827,390376,6/1/2022 13:14,399,0,0,0,0
11823128,390376,6/1/2022 16:16,399,0,0,0,0
11895753,390376,6/4/2022 11:47,399,0,0,0,0
11911168,390376,6/4/2022 17:52,399,0,0,0,0
11948648,390376,6/6/2022 18:06,397,0,0,0,0
12135622,390376,6/11/2022 16:44,396,0,0,0,0
12168098,390376,6/13/2022 16:52,396,0,0,0,0
12256196,390376,6/16/2022 14:59,394,0,0,0,0
12339628,390376,6/17/2022 10:48,394,0,0,0,0
12509985,390376,6/21/2022 18:21,393,0,0,0,0
12984993,390376,7/11/2022 12:12,390,0,0,0,0
13018193,390376,7/13/2022 10:20,390,0,0,0,0
13116205,390376,7/15/2022 16:11,388,0,0,0,0
13128990,390376,7/16/2022 10:27,388,0,0,0,0
13139814,390376,7/16/2022 15:34,388,0,0,0,0
13141231,390376,7/16/2022 16:11,388,0,0,0,0
13175133,390376,7/18/2022 16:01,388,0,0,0,0
13175837,390376,7/18/2022 16:27,388,0,0,0,0
13193177,390376,7/23/2022 18:12,402,0,0,0,1
13208928,390376,7/25/2022 18:03,402,0,0,0,0
